timestamp,global_allocated,global_used,local_allocated,local_used,trail_allocated,trail_used,stack
1447873243.0000196,1044464,763672,61440,9744,522232,36616,1646592
1447873243.100108,2093040,1685616,1044480,11000,1046520,310992,4202496
1447873243.200481,2093040,2044288,1044480,10952,1046520,409472,4202496
1447873243.3003917,2093040,1667688,1044480,9664,1046520,390360,4202496
1447873243.4004855,2093040,1262864,1044480,14672,1046520,246208,4202496
1447873243.5005467,2093040,1430432,1044480,10696,1046520,206200,4202496
1447873243.579276,2093040,1548472,1044480,1680,1046520,2744,4202496
1447911117.524564,2093040,1547728,12288,2024,6136,2552,2129920
