timestamp,global_allocated,global_used,local_allocated,local_used,trail_allocated,trail_used,stack
1447847718.853513,2093040,1755096,126976,10512,1046520,388600,3284992
1447847718.9536097,2093040,1599152,1044480,10088,1046520,493496,4202496
1447847719.0537083,2093040,1697968,1044480,30424,1046520,549768,4202496
1447847719.15379,2093040,1657064,1044480,13800,1046520,334592,4202496
1447847719.2538764,4190192,2437088,1044480,13664,1046520,344152,6299648
1447847719.3490477,4190192,2761952,2093056,1680,2095096,445496,8396800
1447847729.9284995,126960,1704,126976,2024,129016,344,401408
