1 1 1  | 2	| 0.450000	Solution (brute): 1 	 | 18	| 0.450000	Solution (old): 1 	
1 1 1  | 1	| 0.550000	Solution (brute): 1 	 | 15	| 0.550000	Solution (old): 1 	
1 1 1  | 1	| 0.740000	Solution (brute): 1 	 | 15	| 0.740000	Solution (old): 1 	
1 1 1  | 2	| 0.980000	Solution (brute): 1 	 | 23	| 0.980000	Solution (old): 1 	
1 1 1  | 3	| 0.110000	Solution (brute): 1 	 | 43	| 0.110000	Solution (old): 1 	
2 1 1  | 2	| 0.200000	Solution (brute): 1 	 | 27	| 0.200000	Solution (old): 1 	
2 1 1  | 3	| 0.310000	Solution (brute): 1 	 | 26	| 0.310000	Solution (old): 1 	
2 1 1  | 1	| 0.240000	Solution (brute): 1 	 | 18	| 0.240000	Solution (old): 1 	
2 1 1  | 2	| 0.310000	Solution (brute): 1 	 | 14	| 0.310000	Solution (old): 1 	
2 1 1  | 1	| 0.710000	Solution (brute): 1 	 | 17	| 0.710000	Solution (old): 1 	
3 1 1  | 3	| 0.460000	Solution (brute): 1 	 | 27	| 0.460000	Solution (old): 1 	
3 1 1  | 3	| 0.040000	Solution (brute): 1 	 | 35	| 0.040000	Solution (old): 1 	
3 1 1  | 2	| 0.060000	Solution (brute): 1 	 | 28	| 0.060000	Solution (old): 1 	
3 1 1  | 4	| 0.060000	Solution (brute): 1 	 | 30	| 0.060000	Solution (old): 1 	
3 1 1  | 2	| 0.820000	Solution (brute): 1 	 | 17	| 0.820000	Solution (old): 1 	
4 1 1  | 3	| 0.480000	Solution (brute): 1 	 | 39	| 0.480000	Solution (old): 1 	
4 1 1  | 3	| 0.060000	Solution (brute): 1 	 | 35	| 0.060000	Solution (old): 1 	
4 1 1  | 2	| 0.690000	Solution (brute): 1 	 | 16	| 0.690000	Solution (old): 1 	
4 1 1  | 2	| 0.930000	Solution (brute): 1 	 | 24	| 0.930000	Solution (old): 1 	
4 1 1  | 2	| 0.350000	Solution (brute): 1 	 | 26	| 0.350000	Solution (old): 1 	
5 1 1  | 2	| 0.770000	Solution (brute): 1 	 | 32	| 0.770000	Solution (old): 1 	
5 1 1  | 3	| 0.590000	Solution (brute): 1 	 | 22	| 0.590000	Solution (old): 1 	
5 1 1  | 1	| 0.700000	Solution (brute): 1 	 | 33	| 0.700000	Solution (old): 1 	
5 1 1  | 2	| 0.960000	Solution (brute): 1 	 | 20	| 0.960000	Solution (old): 1 	
