timestamp,global_allocated,global_used,local_allocated,local_used,trail_allocated,trail_used,stack
1447848397.9069486,2093040,1710984,126976,9968,1046520,372712,3284992
1447848398.0070455,2093040,1715904,1044480,10464,1046520,536680,4202496
1447848398.1071322,2093040,1855224,1044480,55072,1046520,684568,4202496
1447848398.2072196,2093040,1935312,1044480,13664,1046520,437464,4202496
1447848398.307304,4190192,2815960,1044480,14088,1046520,466256,6299648
1447848398.4007342,4190192,3080104,2093056,1680,2095096,706544,8396800
1447864332.483529,126960,1704,126976,2024,129016,344,401408
