timestamp,global_allocated,global_used,local_allocated,local_used,trail_allocated,trail_used,stack
1447872809.0988495,1044464,714952,61440,10712,522232,19600,1646592
1447872809.1989443,2093040,1831808,1044480,9912,1046520,645576,4202496
1447872809.3036368,2093040,1206840,1044480,246456,1046520,93392,4202496
1447872809.3055825,2093040,1345792,1044480,1680,1046520,2768,4202496
1447872816.0406365,2093040,1345048,12288,2024,6136,2552,2129920
