timestamp,global_allocated,global_used,local_allocated,local_used,trail_allocated,trail_used,stack
1447847736.1059577,2093040,1641184,126976,10552,1046520,346656,3284992
1447847736.2060533,2093040,1576944,1044480,10112,1046520,485464,4202496
1447847736.3061569,2093040,1811928,1044480,10464,1046520,646280,4202496
1447847736.4062314,2093040,1824528,1044480,13552,1046520,396616,4202496
1447847736.506318,4190192,2739608,1044480,13896,1046520,441192,6299648
1447847736.601355,4190192,3079800,2093056,1680,2095096,706040,8396800
1447848397.806076,126960,1704,126976,2024,129016,344,401408
