4 2 1  | 3	| 0.860000	Solution (brute): 1 	 | 27	| 0.860000	Solution (old): 1 	
4 2 1  | 4	| 0.500000	Solution (brute): 1 	 | 33	| 0.500000	Solution (old): 1 	
4 2 1  | 2	| 0.170000	Solution (brute): 1 	 | 26	| 0.170000	Solution (old): 1 	
5 2 1  | 2	| 0.660000	Solution (brute): 1 	 | 23	| 0.660000	Solution (old): 1 	
5 2 1  | 2	| 0.830000	Solution (brute): 1 	 | 22	| 0.830000	Solution (old): 1 	
5 2 1  | 2	| 0.850000	Solution (brute): 1 	 | 23	| 0.850000	Solution (old): 1 	
5 2 1  | 2	| 0.930000	Solution (brute): 1 	 | 22	| 0.930000	Solution (old): 1 	
5 2 1  | 3	| 0.970000	Solution (brute): 1 	 | 22	| 0.970000	Solution (old): 1 	
6 2 1  | 4	| 0.850000	Solution (brute): 1 	 | 25	| 0.850000	Solution (old): 1 	
6 2 1  | 3	| 0.680000	Solution (brute): 1 	 | 21	| 0.680000	Solution (old): 1 	
6 2 1  | 3	| 0.710000	Solution (brute): 1 	 | 22	| 0.710000	Solution (old): 1 	
6 2 1  | 2	| 0.930000	Solution (brute): 1 	 | 16	| 0.930000	Solution (old): 1 	
6 2 1  | 2	| 0.540000	Solution (brute): 1 	 | 16	| 0.540000	Solution (old): 1 	
7 2 1  | 3	| 0.690000	Solution (brute): 1 	 | 17	| 0.690000	Solution (old): 1 	
7 2 1  | 2	| 0.330000	Solution (brute): 1 	 | 16	| 0.330000	Solution (old): 1 	
7 2 1  | 2	| 0.950000	Solution (brute): 1 	 | 17	| 0.950000	Solution (old): 1 	
7 2 1  | 4	| 0.550000	Solution (brute): 1 	 | 23	| 0.550000	Solution (old): 1 	
7 2 1  | 2	| 0.770000	Solution (brute): 1 	 | 17	| 0.770000	Solution (old): 1 	
8 2 1  | 4	| 0.630000	Solution (brute): 1 	 | 31	| 0.630000	Solution (old): 1 	
8 2 1  | 3	| 0.790000	Solution (brute): 1 	 | 19	| 0.790000	Solution (old): 1 	
8 2 1  | 3	| 0.950000	Solution (brute): 1 	 | 38	| 0.950000	Solution (old): 1 	
8 2 1  | 2	| 0.630000	Solution (brute): 1 	 | 36	| 0.630000	Solution (old): 1 	
8 2 1  | 3	| 0.760000	Solution (brute): 1 	 | 41	| 0.760000	Solution (old): 1 	
9 2 1  | 3	| 0.920000	Solution (brute): 1 	 | 21	| 0.920000	Solution (old): 1 	
9 2 1  | 3	| 0.640000	Solution (brute): 1 	 | 28	| 0.640000	Solution (old): 1 	
9 2 1  | 2	| 0.330000	Solution (brute): 1 	 | 19	| 0.330000	Solution (old): 1 	
9 2 1  | 3	| 0.980000	Solution (brute): 1 	 | 18	| 0.980000	Solution (old): 1 	
9 2 1  | 2	| 0.500000	Solution (brute): 1 	 | 19	| 0.500000	Solution (old): 1 	
1 3 1  | 2	| 0.420000	Solution (brute): 1 	 | 27	| 0.420000	Solution (old): 1 	
1 3 1  | 2	| 0.900000	Solution (brute): 1 	 | 19	| 0.900000	Solution (old): 1 	
1 3 1  | 2	| 0.820000	Solution (brute): 1 	 | 19	| 0.820000	Solution (old): 1 	
1 3 1  | 3	| 0.660000	Solution (brute): 1 	 | 18	| 0.660000	Solution (old): 1 	
1 3 1  | 2	| 0.770000	Solution (brute): 1 	 | 16	| 0.770000	Solution (old): 1 	
2 3 1  | 4	| 0.700000	Solution (brute): 1 	 | 28	| 0.700000	Solution (old): 1 	
2 3 1  | 2	| 0.790000	Solution (brute): 1 	 | 24	| 0.790000	Solution (old): 1 	
2 3 1  | 2	| 0.660000	Solution (brute): 1 	 | 36	| 0.660000	Solution (old): 1 	
2 3 1  | 3	| 0.900000	Solution (brute): 1 	 | 18	| 0.900000	Solution (old): 1 	
2 3 1  | 2	| 0.880000	Solution (brute): 1 	 | 21	| 0.880000	Solution (old): 1 	
3 3 1  | 3	| 0.720000	Solution (brute): 1 	 | 27	| 0.720000	Solution (old): 1 	
3 3 1  | 3	| 0.420000	Solution (brute): 1 	 | 19	| 0.420000	Solution (old): 1 	
3 3 1  | 3	| 0.510000	Solution (brute): 1 	 | 26	| 0.510000	Solution (old): 1 	
3 3 1  | 4	| 0.710000	Solution (brute): 1 	 | 25	| 0.710000	Solution (old): 1 	
3 3 1  | 3	| 0.830000	Solution (brute): 1 	 | 25	| 0.830000	Solution (old): 1 	
