timestamp,global_allocated,global_used,local_allocated,local_used,trail_allocated,trail_used,stack
1447872816.1414874,4190192,1032816,61440,10832,2095096,25936,6365184
1447872816.2415729,4190192,3557704,1044480,9904,2095096,1323328,7348224
1447872816.324477,4190192,1600768,1044480,1680,2095096,2744,7348224
1447873005.667084,2093040,1600024,12288,2024,6136,2552,2129920
